Product,,Reviewer_Name,Reviewer_Location,Review,Review_Date,Review_Time,Rating,good_review,cleaned_reviews,neg,neu,pos,compound,day_of_week,review_hour
Gardener's Harvest Basket,88,Lisa,"Lawrenceville, PA","I love the small openings of basket so grape tomatoes can't fall through. And the coated wire portion of basket is washable. It is also great to use on countertop in kitchen to store  onions, garlic, ginger etc.",2020-07-26,15:57:52,5.0,1,love small opening basket grape tomatoes can't fall coat wire portion basket washable also great use countertop kitchen store onion garlic ginger etc,0.0,0.717,0.283,0.8519,6,15
Gardener's Harvest Basket,89,AnnieM,"Greenville, SC",No more dirty vegetables on the counters.  Carry and clean all at once.,2020-07-22,13:14:27,5.0,1,dirty vegetable counter carry clean,0.337,0.349,0.314,-0.0516,2,13
Gardener's Harvest Basket,90,Lauren/Super Mama,"Oceanside, NY",Our daughter loves to maintain her garden and she will definitely use her basket for that purpose.  She also occasionally joins a co-op garden group and she can use it to collect the many fruits and vegetables she gains.,2020-07-16,00:28:25,5.0,1,daughter love maintain garden definitely use basket purpose also occasionally join co-op garden group use collect many fruit vegetable gain,0.0,0.567,0.433,0.9044,3,0
Gardener's Harvest Basket,91,Rae B,CT,"Gave this as a gift to my dad.  He loves to garden and loved it.  Well made, sturdy",2020-07-11,16:49:06,5.0,1,give gift dad love garden love well make sturdy,0.0,0.272,0.728,0.9246,5,16
Gardener's Harvest Basket,92,Sara,"Guilford, CT",Works great as my daughter broke her foot and has been trying to bring in vegetables under her arms while struggling with crutches.,2020-07-30,12:47:11,5.0,1,work great daughter break foot try bring vegetable arm struggle crutch,0.149,0.584,0.266,0.4215,3,12
Gardener's Harvest Basket,93,Tymex,poughkeepsie ny,"This basket perfect size for harvesting large enough for multiple goods but small enough that you can carry produce easily. Basket also stylish , would recommend the mesh spacing be smaller . My string beans fall through this  mesh intermittently",2020-07-29,13:47:33,5.0,1,basket perfect size harvest large enough multiple good small enough carry produce easily basket also stylish would recommend mesh space small string bean fall mesh intermittently,0.0,0.657,0.343,0.8885,2,13
Gardener's Harvest Basket,94,Jay,Cape Cod Mass,Large basket with comfortable handle for extensive collection around a large garden.,2020-08-05,11:44:20,5.0,1,large basket comfortable handle extensive collection around large garden,0.0,0.708,0.292,0.5106,2,11
Geode Puzzle,95,Betty Boop,Twin Cities,All the puzzles I have received ftom this companh are unique but fun,2020-05-23,00:37:45,4.7,1,puzzle receive ftom companh unique fun,0.0,0.602,0.398,0.5106,5,0
Geode Puzzle,96,Patsyratsy,MICHIGAN,Relaxing,2020-05-12,14:59:14,5.0,1,relax,0.0,0.0,1.0,0.4404,1,14
Geode Puzzle,97,Gram,"Westfield, NJ","I love the jagged shape of each piece and the vivid colors!  The larger shaped pieces added interest and anchors to solving the puzzles.  Interesting to note the picture on my box of the pink puzzle was reversed so the location of the larger pieces was different - made me ""think outside the box!""",2020-05-12,21:27:01,5.0,1,love jagged shape piece vivid color large shape piece added interest anchor solve puzzle interest note picture box pink puzzle reverse location large piece different make think outside box,0.0,0.676,0.324,0.9001,1,21
Geode Puzzle,98,Errrrr,New York,I enjoyed putting the jigsaw geode puzzle together.  Wish it didn't end.,2020-05-14,10:33:06,5.0,1,enjoy put jigsaw geode puzzle together wish end,0.0,0.504,0.496,0.7096,3,10
Geode Puzzle,99,Mamagifter,"Dallas, TX","Purchased this as a gift for my nephew, he's thoughtful about plastic so he loved the wood material.  Teenagers are fairly difficult to purchase for and I was looking for something non-screen/tech related.  I was thrilled that he was thrilled with the gift!",2020-07-26,17:39:22,4.9,1,purchase gift nephew he's thoughtful plastic love wood material teenager fairly difficult purchase look something non-screen/tech related thrill thrilled gift,0.075,0.388,0.537,0.9382,6,17
Geode Puzzle,100,kingsley,michigan,All around good quality and great gift.,2020-05-29,12:33:43,4.9,1,around good quality great gift,0.0,0.168,0.832,0.872,4,12
Geode Puzzle,101,White Rabbit,"Williamsburg, VA","Blue Geode side up took 3 hours.  For an extra challenge, did it upside down and it took 17 hours.  Great fun, unique puzzle.",2020-05-26,12:41:52,5.0,1,blue geode side take hour extra challenge upside take hour great fun unique puzzle,0.0,0.558,0.442,0.8271,1,12
Geode Puzzle,102,Nancy,"Hartford, CT","I am disappointed in this puzzle, and am already returning it a day after we received it.  For $65 I expect a premium feeling experience and colors that at least somewhat match the images on the website.  Both my son and I felt that the printing quality on the pieces wasn't particularly great and it didn't ""feel"" like the pieces were made of woodâ€”they could have been shaped out of plexi or some other material and it would have felt pretty much the same.  The blues on the actual puzzle were MUCH darker than the website shows, which I might have written off as the ""variance"" they warn about, except all the review photos fairly consistently show the much darker colors.  The fit of the pieces isn't snug, which is a significant part of the challenge in assembly but also added to feeling that is wasn't well crafted.  (This is our first wooden puzzle, so I'm not sure if the materials prevent a snugger feel or not). I was prepared having read the description and the reviews for a small puzzle, but it still ended up being smaller than expected.  The kicker was that our puzzle showed up missing multiple pieces.  

On the positive side, the puzzle was more challenging than I expected based on the size and piece count.  I'm a slow puzzler, and the estimate of about 11 hours someone else mentioned sounds about right for my skill level...maybe a little less once I got going.  My son is a more experienced puzzler, and after I'd gotten about 2/3rds of the edges assembled, he jumped in and finished what he could in maybe 3-4 hours.  So maybe 5 hours if he'd done it all himself?",2020-05-15,09:19:26,5.0,1,"disappointed puzzle already return day receive expect premium feeling experience color least somewhat match image website son felt printing quality piece particularly great feel like piece make woodâ€”they could shape plexi material would felt pretty much blue actual puzzle much darker website show might write variance warn except review photo fairly consistently show much darker color fit piece snug significant part challenge assembly also add feel well craft first wooden puzzle i'm sure material prevent snugger feel prepared read description review small puzzle still end small expected kicker puzzle show miss multiple piece 

on positive side puzzle challenge expect base size piece count i'm slow puzzler estimate hour someone else mention sound right skill level...maybe little less get go son experience puzzler i'd gotten edge assemble jumped finish could maybe hour maybe hour he'd do",0.039,0.768,0.192,0.9621,4,9
Geode Puzzle,103,Joey,South Carolina,I loved putting this puzzle together. I have to admit it was much easier than I expected. I took me only 3 hours to put it together.,2020-05-21,12:59:10,4.8,1,love put puzzle together admit much easy expect take hour put together,0.0,0.503,0.497,0.836,3,12
Geode Puzzle,104,KP,"Cambridge, MA","I bought this for myself as a fun treat during the pandemic. I love the intricate nature of the pieces and the design. The pieces had a strong wood/stain smell when I first opened the box so I'm assuming they are hot off the press, filling orders during this time. After a day, that heavy smell dissipated.  I love puzzles but I'm just taking my time with this one, each day taking moments to enjoy the complexity and build! #sweepstakes",2020-05-17,19:25:25,5.0,1,buy fun treat pandemic love intricate nature piece design piece strong wood/stain smell first open box i'm assume hot press fill order time day heavy smell dissipate love puzzle i'm take time one day take moment enjoy complexity build sweepstakes,0.0,0.595,0.405,0.9702,6,19
Home Team Baseball Game,105,"Zach, son in law, Suzie, Me, who bought","Baldwinsville, NY","This is a beautifully made game, and is going to get many uses on game nights! My son in law absolutely loved it, and now I am the best mother in law EVER!!",2020-07-24,20:40:43,5.0,1,beautifully make game go get many us game night son law absolutely love best mother law ever,0.0,0.525,0.475,0.9283,4,20
Home Team Baseball Game,106,Fry,North Texas USA,We keep it on the breakfast bar and always have a game in progress. We give ourselves funny player names.,2020-07-24,12:52:36,4.0,1,keep breakfast bar always game progress give funny player name,0.0,0.584,0.416,0.6908,4,12
Home Team Baseball Game,107,Laura,"Albuquerque, NM","This gift is one of the best I have ever given. My dad/family loves it. We play regularly and always have a good time. It's also great for teaching the game of baseball and would be a fun game for kids to learn, especially if they kept score during a game. Simply an awesome game.",2020-07-21,16:42:48,5.0,1,gift one best ever give dad/family love play regularly always good time also great teach game baseball would fun game kid learn especially keep score game simply awesome game,0.0,0.428,0.572,0.9819,1,16
Home Team Baseball Game,108,Pslee,"Cedarburg,WI",Easy to play and score. Too many ways to get an out,2020-07-25,12:35:49,4.5,1,easy play score many way get,0.0,0.43,0.57,0.6486,5,12
Home Team Baseball Game,109,Matt,"Albion, IN","This is just a classic, old-school roll your dice baseball game that I thought I could enjoy playing with my father and other non-gamers.  The materials and appearance are top-notch, especially with that Yankees logo in the center and on the scoreboard.",2020-07-30,00:04:36,4.8,1,classic old-school roll dice baseball game think could enjoy play father non-gamers material appearance top-notch especially yankee logo center scoreboard,0.0,0.763,0.237,0.6808,3,0
Home Team Baseball Game,110,BAE,"Grapevine, TX","My friends put it in their ""Cubs"" Game Room and love playing with family and friends--especially, when the Cubs are playing.",2020-07-30,14:24:38,5.0,1,friend put cubs game room love play family friends--especially cub play,0.0,0.365,0.635,0.9042,3,14
Home Team Baseball Game,111,Janet Snakehole,penny,"The actual game board is good quality. I was a little disappointed with how shoddy the box for the game is. The box is a neat idea, but it needs some improvements. It doesn't stay shut, or have a place for the game pieces. I also would have preferred a card or something with the game rules; rather than the rules being printed on the outside of the box. The packaging truly cheapens an otherwise nicely made board game.",2020-08-04,05:04:15,4.8,1,actual game board good quality little disappointed shoddy box game box neat idea need improvement stay shut place game piece also would prefer card something game rule rather rule print outside box packaging truly cheapen otherwise nicely make board game,0.054,0.66,0.285,0.8977,1,5
Home Team Baseball Game,112,Elliep,"Orange County, CA",Super sturdy construction and very cute. Wish the directions came loose inside instead of just on the box. Loved the little bag for the pieces.,2020-08-04,10:08:40,4.6,1,super sturdy construction cute wish direction come loose inside instead box love little bag piece,0.088,0.383,0.529,0.91,1,10
Home Team Baseball Game,113,Mouse,"Scottsdale, AZ",Wonderful gift,2020-08-04,12:41:40,4.8,1,wonderful gift,0.0,0.0,1.0,0.765,1,12
Home Team Baseball Game,114,World Champions NATS fan!!,Oakton VA,We played this he for the first time when the NATS opening he was in a rain delay!,2020-07-24,21:50:29,5.0,1,play first time nats open rain delay,0.237,0.515,0.247,0.0258,4,21
Infinite Galaxy Puzzle,115,JoJo,Long Island NY,I'm on a puzzle kick during this period of time and enjoyed this challenging and unique puzzle.,2020-08-03,12:46:27,4.7,1,i'm puzzle kick period time enjoy challenge unique puzzle,0.0,0.609,0.391,0.5423,0,12
Infinite Galaxy Puzzle,116,Abfblanco,Miami Florida,This puzzle was frustrating annoying but also awesome and amazing. I have already done it once and am taking it with my in vacation. Can't wait to see how it comes out next time,2020-07-07,12:47:54,4.9,1,puzzle frustrate annoy also awesome amaze already do take vacation can't wait see come next time,0.231,0.471,0.298,0.4019,1,12
Infinite Galaxy Puzzle,117,Say,VA,"Novel way of doing puzzle. Challenging. 
Once you finish it, you can take it apart and have a new puzzle with a different picture.",2020-05-28,12:31:15,4.0,1,"novel way puzzle challenge 
once finish take apart new puzzle different picture",0.0,0.735,0.265,0.3818,3,12
Infinite Galaxy Puzzle,118,Beth,"Denver, Colorado",This arrived early and my mother enjoyed the unique design and challenge.,2020-05-15,12:55:11,5.0,1,arrive early mother enjoy unique design challenge,0.0,0.526,0.474,0.5423,4,12
Infinite Galaxy Puzzle,119,sj,"Arvada, CO","It is a gift for my teenage granddaughter, we love to work puzzles together, and she is very interested in all things SPACE!",2020-05-28,00:11:39,5.0,1,gift teenage granddaughter love work puzzle together interested thing space,0.0,0.417,0.583,0.8689,3,0
Infinite Galaxy Puzzle,120,Kar,Omaha,Sent as a gift,2020-05-28,00:34:48,5.0,1,sent gift,0.0,0.256,0.744,0.4404,3,0
Infinite Galaxy Puzzle,121,Doc,Maryland,High quality puzzle that has an unconventional twist for never ending fun!,2020-06-13,22:11:56,4.5,1,high quality puzzle unconventional twist never end fun,0.278,0.722,0.0,-0.4023,5,22
Infinite Galaxy Puzzle,122,Anhie,"Peoria, AZ",Great puzzle that can be put together in so many different ways. Also awesome it doesn't have a true structured border,2020-06-25,19:35:52,5.0,1,great puzzle put together many different way also awesome true structure border,0.0,0.45,0.55,0.9001,3,19
Infinite Galaxy Puzzle,123,Laura,Cottage Grove Minnesota,Great product to combat boredom,2020-05-14,11:13:37,5.0,1,great product combat boredom,0.48,0.102,0.418,0.1027,3,11
Intersection of Love - Photo Print,124,Mom in New York,New York,I purchased this item as a gift for my daughter and her husband as a first anniversary gift.  They loved it!,2020-08-05,13:31:21,5.0,1,purchased item gift daughter husband first anniversary gift love,0.0,0.375,0.625,0.875,2,13
Intersection of Love - Photo Print,125,"Yvonne, chip's mom",Wesley Chapel Florida,"If you want .modern, unique and stylish, this is the gift. It's personalized and classy!",2020-07-31,11:53:38,5.0,1,want modern unique stylish gift personalize classy,0.0,0.36,0.64,0.7269,4,11
Intersection of Love - Photo Print,126,Hgordo,Sioux Falls SD,This is such a cool way to celebrate a anniversary!!,2020-07-30,12:38:11,5.0,1,cool way celebrate anniversary,0.0,0.25,0.75,0.7184,3,12
Intersection of Love - Photo Print,127,KimTX,TEXAS,framed beautifully ready to hang,2020-07-21,21:03:11,5.0,1,frame beautifully ready hang,0.0,0.244,0.756,0.7351,1,21
Intersection of Love - Photo Print,128,BeJuled,BTV,"I bought this as a five-year anniversary gift for my husband. Turns out he almost bought the same thing for me! How's that for the intersection of love? It looks beautiful hanging in our living room. I opted to only add our wedding year and not the current year because to me it seemed like either a) the marriage only last five years (2015-2020), or b) I would have to buy another one every five years so that it wouldn't seem like the marriage only last five years! Personal preference.

#sweepstakes",2020-07-07,15:03:46,5.0,1,"buy five-year anniversary gift husband turn almost bought thing how's intersection love look beautiful hang living room opt add wed year current year seem like either marriage last five year would buy another one every five year seem like marriage last five year personal preference.

#sweepstakes",0.0,0.719,0.281,0.9432,1,15
Intersection of Love - Photo Print,129,Jeffrey,KC,"I love giving this gift, and the recipient always raves about it. It's my ""go to"" wedding gift.",2020-07-09,18:08:55,5.0,1,love give gift recipient always rave go wed gift,0.0,0.375,0.625,0.875,3,18
Intersection of Love - Photo Print,130,Gigi,"Rolling Meadows, IL",The wedding is 7/11 so I can't wait to see their faces when they receive it!!,2020-07-08,18:50:05,5.0,1,wed can't wait see face receive,0.0,1.0,0.0,0.0,2,18
Intersection of Love - Photo Print,131,Snoopy,East York,"We bought this gift for our son and daughter in law. They had to postpone their ""big"" wedding because if Covid but we wanted them to have something to commemorate the day. They both like different one of a kind items. I saw this online and knew it would be perfect. Both love the gift !!
Great customer service. I would highly recommend",2020-07-09,12:51:29,5.0,1,"buy gift son daughter law postpone big wedding covid want something commemorate day like different one kind item saw online knew would perfect love gift 
great customer service would highly recommend",0.037,0.414,0.548,0.9774,3,12
Intersection of Love - Photo Print,132,Diana,Golden Valley Arizona,Because I am a person who thinks ahead and bought this early.  I had no idea they would have to postpone their wedding another year.  I am hoping they can look back on it and have a story to tell their children.,2020-07-16,15:57:45,5.0,1,person think ahead buy early idea would postpone wed another year hop look back story tell child,0.106,0.894,0.0,-0.2263,3,15
Intersection of Love - Photo Print,133,PJ,Wisconsin,"Especially great for couples who have been out in the world a while and already own a lot of the typical gift registry items (cookware, glassware, serving pieces, bedding).",2020-07-15,15:15:06,5.0,1,especially great couple world already lot typical gift registry item cookware glassware serve piece bed,0.0,0.641,0.359,0.807,2,15
Just Ripe Fruit Bowl,134,Susan,Margate New Jersey,Moved the fruit bowl to another counter away from coffee pot.  Top warped.,2020-03-20,21:29:26,5.0,1,move fruit bowl another counter away coffee pot top warp,0.0,0.833,0.167,0.2023,4,21
Just Ripe Fruit Bowl,135,Davi,Philadelphia,This bowl is perfect. Much larger than I expected. Very simple but stylish and functional. #sweepstakes,2020-05-12,15:27:48,5.0,1,bowl perfect much large expect simple stylish functional sweepstakes,0.0,0.684,0.316,0.5719,1,15
Just Ripe Fruit Bowl,136,Brooke,"Tallahassee, FL","I loved the beauty and design, however I am very disappointed that the wood cracked along the middle seam. This should not have happened at all, let alone in this time frame. I love this bowl on my counter, but for the price point it should not have done this! This would have been a 5 star product!",2020-07-29,14:06:16,5.0,1,love beauty design however disappointed wood crack along middle seam happen let alone time frame love bowl counter price point do would star product,0.14,0.523,0.336,0.8442,2,14
Just Ripe Fruit Bowl,137,KW,"Knoxville, Tennessee","It sits on the island in our kitchen, filled with fruit which we eat daily. It is beautiful and made very well.",2020-05-18,20:04:50,5.0,1,sits island kitchen fill fruit eat daily beautiful make well,0.0,0.571,0.429,0.7184,0,20
Just Ripe Fruit Bowl,138,Pam the doer.,Illinois,Use it to keep fresh fruits and vegetables handy and ripen fruits and vegetables.,2020-06-03,21:33:56,5.0,1,use keep fresh fruit vegetable handy ripen fruit vegetable,0.0,0.777,0.223,0.3182,2,21
Just Ripe Fruit Bowl,139,Cathy528,"Red Bank, NJ",Hold large amounts of fruit or salad or anything you want to put in it. Hook for bananas is great and the flat lid holds fruit or vegetables also. Great item!,2020-07-16,20:09:52,2.0,0,hold large amount fruit salad anything want put hook banana great flat lid hold fruit vegetable also great item,0.0,0.627,0.373,0.8591,3,20
Just Ripe Fruit Bowl,140,Sharon,"Delmar, New York","We purchased for our kitchen, which has small counter space. The double bowl design is incredibly useful. The bowl is also well-made with quality wood, and we appreciate its simple beauty!",2020-07-17,19:06:48,4.8,1,purchase kitchen small counter space double bowl design incredibly useful bowl also well-made quality wood appreciate simple beauty,0.0,0.607,0.393,0.8655,4,19
Just Ripe Fruit Bowl,141,Mar,Stone Harbor NJ,"Love this product!  If you have a small kitchen, it allows you to create 1 area for fruit.  It's very unique in that it allows for enough storage.  Sometimes, I put my bagels in the bowl when I run out of fruit.",2020-07-18,10:22:48,4.9,1,love product small kitchen allow create area fruit unique allow enough storage sometimes put bagel bowl run fruit,0.0,0.581,0.419,0.8442,5,10
Just Ripe Fruit Bowl,142,Rebecca,"Grand Junction, Colo.",See my review!!!,2020-05-15,13:14:33,4.0,1,see review,0.0,1.0,0.0,0.0,4,13
Just Ripe Fruit Bowl,143,Nikki,"Goleta, CA","This product is a genius design, and the perfect size. It's great for keeping fruits, veggies, and bananas separate, ensuring things ripen at the right time. The only con of this bowl is that the wood is a bit dry/rough (I'm a touch worried about future splinters); we were expecting a smoother, more cutting board-like texture. Otherwise, it's perfect storage!",2020-06-30,18:52:28,5.0,1,product genius design perfect size great keep fruits veggie bananas separate ensure thing ripen right time con bowl wood bit dry/rough i'm touch worried future splinter expect smoother cut board-like texture otherwise perfect storage,0.093,0.603,0.304,0.8957,1,18
Living Composter,144,Alison,"Buena Vista, CO","I really liked the idea. Unfortunately, it wasn't as simple as adding food on one side and taking out soil on the other side. I wish there had been more direction with the bin. 

Only putting food in one side made the worms ball up on the one side. Putting food in different parts of the bin made the worms spread out more. 

The gauge didn't accurately assess moisture. Living at high altitude I needed to regularly add moisture to the bedding, which the resulted in fungus gnats which lived in the little holes in the cork lid. 
I'm still using the bin but definitely not in the kitchen and with a lot more management.",2020-05-04,00:15:51,4.1,1,"really liked idea unfortunately simple add food one side take soil side wish direction bin 

only put food one side make worm ball one side put food different part bin make worm spread 

the gauge accurately assess moisture live high altitude need regularly add moisture bed result fungus gnat live little hole cork lid 
i'm still use bin definitely kitchen lot management",0.039,0.839,0.123,0.7031,0,0
Living Composter,145,ghel0050,Toronto,"Bought this for my wife birthday who recently got into gardening. She loved the design and look but more importantly, it's performance. So far (using for a few weeks), no odor and no fruit flies. 

Would highly recommend.",2019-07-14,01:31:55,4.8,1,"bought wife birthday recently get garden love design look importantly performance far use week odor fruit fly 

would highly recommend",0.0,0.647,0.353,0.8516,6,1
Living Composter,146,Anne,Chicago,I have this one in my kitchen - it looks amazing and the design avoids flys. I have a 2nd bigger one in the basement with much more capacity but lots of flys,2019-04-28,12:02:23,5.0,1,one kitchen look amazing design avoids flys big one basement much capacity lot fly,0.097,0.686,0.217,0.4767,6,12
Living Composter,147,Oliver,London,"This is a great small composter. Beautifully made and easy to use. Love it!
The lid was a bit tight in the begining, but it fit well afterwards. Already adding worms and the compost is starting to look good! Not cheap but worth it, would definitely recommended!",2018-11-02,22:19:03,3.0,0,"great small composter beautifully make easy use love it!
the lid bit tight begining fit well afterwards already add worm compost start look good cheap worth would definitely recommend",0.0,0.389,0.611,0.9814,4,22
Living Composter,148,Amy,New York,"Its beautiful look fits my kitchen.
My kid checks the composter like crazy, and sometimes the seeds from our food waste germinate. 
Even that it's a bit small for us, it still helps me deal with my everyday food waste and fertilize my plants!",2018-03-27,07:00:00,5.0,1,"beautiful look fit kitchen.
my kid check composter like crazy sometimes seed food waste germinate 
even bit small still help deal everyday food waste fertilize plant",0.207,0.492,0.301,0.5574,1,7
Living Composter,149,Sparrow,"Kodiak, AK","I use this composter in my small apartment. It's the perfect size, no odor, very easy to set up and use, and requires next to no maintenance. Simply add worms, dirt, and food waste and it takes care of itself.",2018-04-14,07:00:00,5.0,1,use composter small apartment perfect size odor easy set use require next maintenance simply add worm dirt food waste take care,0.168,0.516,0.316,0.6808,5,7
Long Distance Friendship Lamp,150,Vicky,Florida,"We love our lamps! So much so, I bought a set for my best friend and her daughter. They are beautiful. And we enjoy letting each other know we are thinking about each other.",2020-07-29,12:36:21,5.0,1,love lamp much buy set best friend daughter beautiful enjoy let know think,0.0,0.3,0.7,0.9623,2,12
Long Distance Friendship Lamp,151,Paula,Michigan,"My mother in law has just been so sad about our move from California to Michigan. This lamp brings her comfort, knowing we're ok and thinking about her each time our color pops up on her lamp. It's a gentle reminder that we love her! 
Initially, there were tears (she's a crier), but then it became comforting to her. It's fun when there are family get-togethers back home because it's always changing as people come by and say ""hi""!
Highly recommend!",2020-06-28,17:39:46,5.0,1,"mother law sad move california michigan lamp brings comfort know we're ok thinking time color pop lamp gentle reminder love 
initially tear crier become comfort fun family get-togethers back home always change people come say hi""!
highly recommend",0.058,0.558,0.385,0.9484,6,17
Long Distance Friendship Lamp,152,cdatj1,NJ,Easy to setup and use,2020-05-12,11:34:06,5.0,1,easy setup use,0.0,0.408,0.592,0.4404,1,11
Long Distance Friendship Lamp,153,Lulu,"Charlottetown, PE, Canada","This is such a great lamp and I'd recommend it to anyone. It's super easy to set it up and you don't even need to use the bridge and wires. I went to the advanced setup where you just set it up through wifi and it was super easy. All you have to do is make sure that you know the name of your network at home and that it is case sensitive. This lamp is plastic but it's a really great quality. Every time I look at this lamp, I smile and it's so exciting to see it change to the colour of your friend's lamp when they touch it. It took a bit of tweaking to figure out how to set your friend's colour, but it's not bad at all. Also, the company that makes these lamps pays fair wages and employs survivors of domestic abuse. If you're on the fence, just do it and buy this lamp. I thought about it for 3 years and don't know why I waited so long!",2020-06-17,13:22:15,5.0,1,great lamp i'd recommend anyone super easy set even need use bridge wire go advanced setup set wifi super easy make sure know name network home case sensitive lamp plastic really great quality every time look lamp smile excite see change colour friend's lamp touch take bit tweaking figure set friend's colour bad also company make lamps pay fair wage employ survivor domestic abuse fence buy lamp thought year know wait long,0.087,0.538,0.375,0.9816,2,13
Long Distance Friendship Lamp,154,Shelbina,LaGrange Wy,My family has a light along with my mother and now sister back home. We love to feel connected anytime when the light changes! It is great to get that feeling when someone is thinking about you!,2020-06-16,11:03:23,5.0,1,family light along mother sister back home love feel connect anytime light change great get feel someone thinking,0.0,0.658,0.342,0.8519,1,11
Long Distance Friendship Lamp,155,Bert,Knoxville Tn,"These were easy to assemble and work great. As soon as I touch my lamp, it's counterpart lights up and it's hundreds of miles away. Amazing! We will be buying a 3rd lamp for my sister who just moved out.",2020-07-17,23:49:57,5.0,1,easy assemble work great soon touch lamp counterpart light hundred mile away amaze buy lamp sister move,0.0,0.571,0.429,0.8885,4,23
Long Distance Friendship Lamp,156,Lauren,"Chicago, IL","We love the lamp because throughout the day we can see Nana sending us love letting her know she's thinking of us and we can send love right back to her.  It makes all of us feel connected (especially now when we are all physically far apart).  It was a little hard to get each of our lamps connected online and the directions weren't very clear about how to set up the colors, but we eventually figured it out.",2020-07-18,23:37:59,5.0,1,love lamp throughout day see nana send love let know think send love right back make feel connect especially physically far apart little hard get lamp connect online direction clear set color eventually figure,0.024,0.64,0.335,0.9441,5,23
Long Distance Friendship Lamp,157,Mandy,Texas,These lamps are so cool!,2020-07-19,02:10:45,5.0,1,lamp cool,0.0,0.303,0.697,0.3182,6,2
Long Distance Friendship Lamp,158,Lteasenfitz,"Mesa, Az","I got the Long Distance Touch Lamp for my mom for her birthday.  Now she can see when I'm thinking about her (which is all the time!!!).  She absolutely LOVES it!!  And it's so exciting when I see mine light up, knowing that she's thinking about me!!  I love the adjustable colors and incredibly easy set-up.  My sisters said it was the most thoughtful, caring gift.  I can't wait to get more for the rest of my family!",2020-07-27,23:39:50,5.0,1,get long distance touch lamp mom birthday see i'm thinking time absolutely love excite see mine light know think love adjustable color incredibly easy set-up sister say thoughtful care gift can't wait get rest family,0.0,0.536,0.464,0.9757,0,23
Long Distance Friendship Lamp,159,Teresa,Fort Lauderdale,My parents are gone and my brother and I are far apart.  This lamp lets him know that I'm thinking about him and lets me know that my kid brother can still mess with me (I make the lamp pink and come back into the room to find it's turned blue).,2020-05-12,17:40:10,5.0,1,parent go brother far apart lamp let know i'm think let know kid brother still mess make lamp pink come back room find turn blue,0.094,0.906,0.0,-0.3612,1,17
Long Distance Friendship Lamp - Wood,160,jBoogie,Los Angeles/Truckee,"I bought for myself, my mom, my sister, and my brother.  We each picked a different color and it makes my mom feel connected in this pandemic distance.",2020-04-25,14:29:21,5.0,1,buy mom sister brother pick different color make mom feel connect pandemic distance,0.0,1.0,0.0,0.0,5,14
Long Distance Friendship Lamp - Wood,161,FancyPants,"Los Angeles, CA","First purchase for my folks and my family as we moved out of state. 2nd & 3rd purchase were gifts to friends. They should tell their story. This beautiful piece of art is so much more and has kept love and light during pre Covid to current. Comments- how do you use in a hospital setting and memory care unit? IT DEPT?? Prayers up for strong WiFi, grateful for this gift.",2020-07-29,14:57:36,4.9,1,first purchase folk family move state purchase gift friend tell story beautiful piece art much keep love light pre covid current comment use hospital set memory care unit dept prayer strong wifi grateful gift,0.0,0.494,0.506,0.979,2,14
Long Distance Friendship Lamp - Wood,162,Auban,"Oakland, CA","This was an impulse buy at the beginning of quarantine. I purchased 5 - for us, my mother-in-law, my father-in-law and his wife, my sister-in-law and her family, my brother-in-law and his family. It was a way for us to let folks know we were thinking of them. It became all the more important when my father-in-law passed away three weeks into the shelter in place. Suddenly connection meant so much more. Without being able to gather and mourn together, watching the colors change throughout the day (and night) has been such a vital touchstone. I have never been happier with an impulse purchase.",2020-04-27,01:26:40,5.0,1,impulse buy begin quarantine purchase mother-in-law father-in-law wife sister-in-law family brother-in-law family way let folk know think become important father-in-law pass away three week shelter place suddenly connection mean much without able gather mourn together watch color change throughout day night vital touchstone never happy impulse purchase,0.057,0.822,0.121,0.3257,0,1
Long Distance Friendship Lamp - Wood,163,Mom,Coldwater,Easy to show â¤ï¸ Thinking about our kids without needing to say a word.,2020-08-03,14:11:09,5.0,1,easy show â¤ï¸ think kid without need say word,0.0,0.734,0.266,0.4404,0,14
Long Distance Friendship Lamp - Wood,164,Ms Meghan,"Cheshire, CT","I bought this gift for my 92 year old grandmother (for mothers day) as a way to interact with the rest of the family during the quarantine! Even though she lives only an hour away from me & we've talked either on the phone or standing on her front lawn (while she keeps herself inside behind a screen door), as soon as I saw the friendship lamp, I knew my grandma would LOVE it... & guess what, she does! Not only can she now ""physically"" interact with our family (without having to leave her home) but now other family members (who live in different states) are considering buying one so we can all participate! This is truly the perfect gift for anyone who is looking to stay in touch with another while social distancing! #sweepstakes",2020-05-27,11:31:00,4.7,1,buy gift year old grandmother mother day way interact rest family quarantine even though life hour away we've talk either phone standing front lawn keep inside behind screen door soon saw friendship lamp knew grandma would love guess physically interact family without leave home family member live different state consider buy one participate truly perfect gift anyone look stay touch another social distancing sweepstakes,0.0,0.734,0.266,0.962,2,11
Long Distance Friendship Lamp - Wood,165,A Happy Mom,"Los Angeles, CA","I bought two of these lamps for my young children who go back and forth between their dad's house and mine.  It's a sweet and simple way to let them know we are thinking about them, or they are thinking about us, when they are at the other parent's home.",2020-04-16,17:21:07,5.0,1,buy two lamp young child go back forth dad's house mine sweet simple way let know think think parent's home,0.0,0.864,0.136,0.4588,3,17
